model,dataset,mode,map50,precision,recall,f1,fps,n_images,gt_boxes
Default,ExDark,OFF,0.7242,0.8731,0.7495,0.8066,8.5,607,1864
Default,ExDark,NIGHT,0.7314,0.8614,0.7500,0.8018,6.1,607,1864
Default,ExDark,AUTO,0.7137,0.8747,0.7377,0.8003,9.4,607,1864
v1,ExDark,OFF,0.8112,0.8467,0.8353,0.8409,8.6,607,1864
v1,ExDark,NIGHT,0.7732,0.8559,0.7935,0.8235,6.1,607,1864
v1,ExDark,AUTO,0.7643,0.8492,0.7886,0.8178,9.7,607,1864
v2,ExDark,OFF,0.8725,0.8129,0.8997,0.8541,7.9,607,1864
v2,ExDark,NIGHT,0.8509,0.8083,0.8755,0.8406,6.1,607,1864
v2,ExDark,AUTO,0.8504,0.8169,0.8712,0.8432,9.6,607,1864
v3,ExDark,OFF,0.7625,0.8097,0.7827,0.7960,16.0,607,1864
v3,ExDark,NIGHT,0.7448,0.8247,0.7645,0.7934,11.9,607,1864
v3,ExDark,AUTO,0.7265,0.8211,0.7484,0.7830,10.5,607,1864
v4,ExDark,OFF,0.8905,0.8151,0.9131,0.8613,16.3,607,1864
v4,ExDark,NIGHT,0.8610,0.8045,0.8895,0.8448,11.6,607,1864
v4,ExDark,AUTO,0.8539,0.8162,0.8793,0.8466,10.3,607,1864
