dataset,conf_threshold,imgsz_640,imgsz_960,imgsz_1280,imgsz_1920
ExDark,0.15,0.790,0.784,0.741,0.564
ExDark,0.25,0.766,0.760,0.720,0.537
ExDark,0.35,0.739,0.735,0.697,0.518
ExDark,0.50,0.666,0.673,0.629,0.459
RESIDE,0.15,0.589,0.625,0.635,0.545
RESIDE,0.25,0.572,0.600,0.612,0.525
RESIDE,0.35,0.546,0.583,0.587,0.503
RESIDE,0.50,0.500,0.537,0.542,0.446
COCO_val2017,0.15,0.586,0.608,0.576,0.436
COCO_val2017,0.25,0.560,0.590,0.555,0.425
COCO_val2017,0.35,0.538,0.570,0.537,0.407
COCO_val2017,0.50,0.491,0.518,0.485,0.363
